territorio_codigo;territorio_nome;populacao_2022;variacao_absoluta_pop_2010_2022;taxa_crescimento_geometrico_pct;pib_mil_reais_2022;pib_mil_reais_2021;pib_per_capita_2022;variacao_pib_nominal_2021_2022_pct;vab_total_mil_reais_2021;vab_agropecuaria_mil_reais_2021;participacao_agropecuaria_2021_pct;vab_industria_mil_reais_2021;participacao_industria_2021_pct;vab_servicos_mil_reais_2021;participacao_servicos_2021_pct;vab_adm_publica_mil_reais_2021;participacao_adm_publica_2021_pct;perfil_setorial_dominante;cempre_unidades_locais;cempre_empresas;cempre_pessoal_ocupado_total;cempre_pessoal_ocupado_assalariado;proporcao_assalariados_pct;unidades_locais_por_mil_hab;intensidade_ocupacao_formal_pct;cempre_salarios_mil_reais_2022;cempre_salario_medio_mensal_reais;salarios_por_assalariado_mil_reais
2302057;Barroquinha;14567.0;91.0;0.05;150759;133335.0;10349.351273426237;13.06783665204185;127274.0;13203.0;10.37;4479.0;3.52;36510.0;28.69;73082.0;57.42;Adm_publica;262.0;252.0;1442.0;1202.0;83.35644937586684;17.98585844717512;9.899086977414704;30175.0;2142.05;25.103993344425955
2302107;Baturité;35218.0;1916.0;0.47;503468;448272.0;14295.75785109887;12.313059927900918;419933.0;36852.0;8.78;22651.0;5.39;208836.0;49.73;151595.0;36.1;Servicos;859.0;832.0;4243.0;3388.0;79.84916332783408;24.390936452950196;12.047816457493326;102963.0;2133.38;30.390495867768596
2302206;Beberibe;53114.0;4019.0;0.66;1208892;1059006.0;22760.32684414655;14.153460886907157;1014775.0;370244.0;36.49;168283.0;16.58;247368.0;24.38;228880.0;22.55;Agropecuaria;1103.0;1056.0;6060.0;4858.0;80.16501650165017;20.766652859886285;11.409421244869526;127185.0;2097.75;26.18052696582956
2302305;Bela Cruz;32775.0;2030.0;0.53;353476;322244.0;10784.927536231884;9.692034607316195;307352.0;65661.0;21.36;15483.0;5.04;85925.0;27.96;140282.0;45.64;Adm_publica;519.0;500.0;2335.0;1830.0;78.37259100642399;15.835240274599542;7.124332570556827;62469.0;2457.06;34.136065573770495
2302404;Boa Viagem;50411.0;-2010.0;-0.33;584404;539218.0;11592.787288488624;8.379913133463646;502461.0;61799.0;12.3;36881.0;7.34;189399.0;37.69;214382.0;42.67;Adm_publica;940.0;910.0;4334.0;3449.0;79.58006460544532;18.646723929301142;8.597329947828847;92603.0;2043.9;26.849231661351116
2302503;Brejo Santo;51090.0;5901.0;1.03;1009688;817034.0;19762.9281659816;23.579679670613462;747732.0;83140.0;11.12;117723.0;15.74;318299.0;42.57;228570.0;30.57;Servicos;1190.0;1134.0;10811.0;9369.0;86.66173341966515;23.29222939909963;21.160696809551773;228626.0;1953.49;24.402390863485966
2302602;Camocim;62326.0;2168.0;0.3;855906;839500.0;13732.727914514007;1.9542584871947588;788717.0;96180.0;12.19;154076.0;19.53;280667.0;35.59;257794.0;32.69;Servicos;1357.0;1306.0;7046.0;5699.0;80.8827703661652;21.772614960048777;11.30507332413439;153021.0;1685.49;26.85050008773469
2302701;Campos Sales;25135.0;-1343.0;-0.43;314915;292357.0;12528.943703998408;7.715908974301966;274766.0;38765.0;14.11;10162.0;3.7;110385.0;40.17;115455.0;42.02;Adm_publica;551.0;535.0;2474.0;1973.0;79.74939369442198;21.92162323453352;9.842848617465686;43760.0;1752.61;22.179422199695896
2302800;Canindé;74174.0;946.0;0.11;1021411;911356.0;13770.472133092459;12.075961534241285;846383.0;60721.0;7.17;72822.0;8.6;370446.0;43.77;342393.0;40.45;Servicos;1878.0;1797.0;10991.0;9122.0;82.99517787280503;25.31884487825923;14.817860705907732;259278.0;2320.99;28.42337206752905
2302909;Capistrano;17254.0;291.0;0.14;190140;176809.0;11020.053320969051;7.539774558987382;167117.0;26508.0;15.86;5289.0;3.16;51841.0;31.02;83480.0;49.95;Adm_publica;265.0;262.0;1216.0;978.0;80.42763157894737;15.35875738959082;7.047641126695259;33564.0;2213.67;34.31901840490798
2303006;Caridade;16377.0;-3579.0;-1.63;187437;186169.0;11445.136471881297;0.6811015797474338;172609.0;20721.0;12.0;7324.0;4.24;55813.0;32.34;88751.0;51.42;Adm_publica;305.0;295.0;1665.0;1362.0;81.8018018018018;18.62367955058924;10.166697197288881;36205.0;2199.04;26.58223201174743
2303105;Cariré;17632.0;-355.0;-0.17;208196;193105.0;11807.84936479129;7.814919344398126;184816.0;54357.0;29.41;8167.0;4.42;42335.0;22.91;79957.0;43.26;Adm_publica;303.0;300.0;1568.0;1246.0;79.46428571428571;17.184664246823957;8.892921960072595;32427.0;1576.68;26.024879614767254
2303204;Caririaçu;26320.0;84.0;0.03;271670;253127.0;10321.808510638299;7.3255717485689;242479.0;46161.0;19.04;8182.0;3.37;65384.0;26.97;122751.0;50.62;Adm_publica;319.0;317.0;2080.0;1789.0;86.00961538461539;12.120060790273557;7.90273556231003;48548.0;2082.83;27.136948015651203
2303303;Cariús;17015.0;-1305.0;-0.61;193985;180984.0;11400.822803408757;7.183507934403041;173220.0;51365.0;29.65;5192.0;3.0;41909.0;24.19;74755.0;43.16;Adm_publica;328.0;317.0;1188.0;906.0;76.26262626262627;19.27710843373494;6.982074640023509;24102.0;2098.06;26.602649006622517
2303402;Carnaubal;17210.0;673.0;0.33;185440;166772.0;10775.130737943056;11.19372556544264;158216.0;17685.0;11.18;6906.0;4.37;48573.0;30.7;85051.0;53.76;Adm_publica;276.0;270.0;1591.0;1342.0;84.34946574481458;16.037187681580477;9.244625217896573;34455.0;1952.95;25.674366616989566
2303501;Cascavel;72720.0;6823.0;0.82;1182740;1074377.0;16264.301430143014;10.086124330658604;983022.0;127386.0;12.96;128475.0;13.07;411528.0;41.86;315633.0;32.11;Servicos;1726.0;1639.0;11677.0;9897.0;84.75635865376381;23.734873487348736;16.057480748074806;237325.0;1934.71;23.979488733959787
2303600;Catarina;10243.0;-8462.0;-4.89;132473;154108.0;12933.02743336913;-14.038855867313831;148458.0;24702.0;16.64;3744.0;2.52;35333.0;23.8;84679.0;57.04;Adm_publica;189.0;184.0;1010.0;842.0;83.36633663366337;18.4516255003417;9.860392463145564;27630.0;2128.25;32.81472684085511
2303659;Catunda;10444.0;616.0;0.51;117230;112081.0;11224.626579854463;4.593998982878454;107923.0;16349.0;15.15;3338.0;3.09;29683.0;27.5;58554.0;54.25;Adm_publica;232.0;223.0;1002.0;804.0;80.23952095808383;22.213711221754117;9.59402527767139;28517.0;2640.8;35.46890547263681
2303709;Caucaia;355679.0;36042.0;0.89;9891544;10422701.0;27810.312107265258;-5.096155017782818;8423170.0;64801.0;0.77;3696044.0;43.88;3305418.0;39.24;1356908.0;16.11;Industria;8108.0;7678.0;53554.0;45512.0;84.9833812600366;22.79583557083775;15.05683495511402;1421985.0;2395.77;31.24417735981719
2303808;Cedro;22344.0;-2448.0;-0.86;260564;247325.0;11661.475116362335;5.3528757707469925;232640.0;40875.0;17.57;8038.0;3.45;79138.0;34.02;104589.0;44.96;Adm_publica;445.0;428.0;1863.0;1431.0;76.81159420289855;19.915861081274617;8.33780880773362;40772.0;2210.09;28.49196366177498
2303907;Chaval;12462.0;-153.0;-0.1;125251;110318.0;10050.6339271385;13.536322268351492;104834.0;5685.0;5.42;4771.0;4.55;34129.0;32.56;60249.0;57.47;Adm_publica;199.0;194.0;1757.0;1588.0;90.38133181559476;15.968544374899697;14.09886053602953;26622.0;1286.29;16.76448362720403
2303931;Choró;12113.0;-740.0;-0.49;192951;178989.0;15929.249566581359;7.800479359066759;167029.0;13500.0;8.08;7985.0;4.78;84820.0;50.78;60724.0;36.36;Servicos;189.0;187.0;650.0;481.0;74.0;15.603071080657145;5.366135556839759;22031.0;2341.26;45.802494802494806
2303956;Chorozinho;20163.0;410.0;0.17;255377;260273.0;12665.625154986858;-1.8811017662223897;208605.0;18176.0;8.71;23333.0;11.19;78132.0;37.45;88964.0;42.65;Adm_publica;401.0;399.0;2333.0;1911.0;81.91170167166739;19.887913504934783;11.570698804741358;47378.0;1891.06;24.792255363683935
2304004;Coreaú;20953.0;-785.0;-0.31;236193;225090.0;11272.514675702763;4.932693589230974;212106.0;25966.0;12.24;9537.0;4.5;70140.0;33.07;106463.0;50.19;Adm_publica;337.0;325.0;1569.0;1242.0;79.1586998087954;16.083615711353982;7.48818784899537;35714.0;1910.68;28.755233494363928
2304103;Crateús;76390.0;3573.0;0.4;1088879;952649.0;14254.208666055767;14.300125229754086;888306.0;92298.0;10.39;50095.0;5.64;438111.0;49.32;307802.0;34.65;Servicos;1995.0;1895.0;8749.0;6640.0;75.89438793004915;26.115983767508837;11.453069773530567;198790.0;2097.21;29.938253012048193
2304202;Crato;131050.0;9790.0;0.65;2178406;1871587.0;16622.708889736743;16.393520579059377;1679618.0;66634.0;3.97;190332.0;11.33;913224.0;54.37;509428.0;30.33;Servicos;3552.0;3372.0;21989.0;18149.0;82.536722906908;27.104158718046545;16.779091949637543;546004.0;2354.18;30.084522563226624
2304236;Croatá;17481.0;415.0;0.2;233557;224437.0;13360.620101824838;4.063501116126129;216414.0;75084.0;34.69;5636.0;2.6;53249.0;24.61;82445.0;38.1;Adm_publica;280.0;269.0;1080.0;823.0;76.20370370370371;16.017390309478863;6.178136262227561;29722.0;2254.56;36.1142162818955
2304251;Cruz;29761.0;6778.0;2.18;470272;372681.0;15801.619569234905;26.186202140704783;339755.0;26657.0;7.85;17685.0;5.21;166099.0;48.89;129314.0;38.06;Servicos;952.0;915.0;3590.0;2560.0;71.3091922005571;31.98817244044219;12.062766708107926;78210.0;1951.52;30.55078125
2304269;Deputado Irapuan Pinheiro;8932.0;-165.0;-0.15;111392;100883.0;12471.115091804748;10.417017733413955;96852.0;23492.0;24.26;2228.0;2.3;26363.0;27.22;44770.0;46.23;Adm_publica;177.0;172.0;810.0;651.0;80.37037037037037;19.81639050604568;9.068517689207345;18622.0;2055.06;28.605222734254994
2304277;Ereré;6474.0;-328.0;-0.41;93228;80690.0;14400.370713623726;15.538480604783741;77991.0;20726.0;26.57;2512.0;3.22;17845.0;22.88;36908.0;47.32;Adm_publica;101.0;100.0;715.0;627.0;87.6923076923077;15.600864998455359;11.04417670682731;16549.0;2050.18;26.393939393939394
2304285;Eusébio;74170.0;28137.0;4.06;4557316;3577497.0;61444.19576648241;27.388394735201732;2827293.0;24767.0;0.88;928477.0;32.84;1503329.0;53.17;370720.0;13.11;Servicos;6112.0;5983.0;51973.0;43459.0;83.61841725511323;82.40528515572333;70.072805716597;1444263.0;2682.26;33.2327711176051
2304301;Farias Brito;18217.0;-1400.0;-0.62;225755;202248.0;12392.545424603393;11.6228590641193;193236.0;46355.0;23.99;6239.0;3.23;49617.0;25.68;91025.0;47.11;Adm_publica;334.0;326.0;1505.0;1197.0;79.53488372093022;18.33452269857825;8.261513970467146;38562.0;2272.55;32.21553884711779
2304350;Forquilha;24173.0;2559.0;0.94;310510;304957.0;12845.323294584867;1.8209124565102621;279488.0;26869.0;9.61;52447.0;18.77;96570.0;34.55;103602.0;37.07;Adm_publica;506.0;500.0;2763.0;2266.0;82.01230546507419;20.93244529019981;11.430107971703968;60515.0;1822.06;26.705648720211826
2304400;Fortaleza;2428708.0;-31004.0;-0.11;81362333;73437739.0;33500.253221054154;10.790901391994108;60626428.0;107143.0;0.18;8474214.0;13.98;41839224.0;69.01;10205847.0;16.83;Servicos;122522.0;112708.0;951646.0;802592.0;84.33724305046204;50.44739836983285;39.1832200495078;34250818.0;3398.34;42.67525467485348
2304459;Fortim;17294.0;2503.0;1.31;331346;312460.0;19159.592922400832;6.044293669589707;292525.0;26665.0;9.12;108281.0;37.02;84875.0;29.01;72704.0;24.85;Industria;520.0;512.0;2470.0;1824.0;73.84615384615385;30.068231756678617;14.282410084422342;54242.0;1967.74;29.73793859649123
2304509;Frecheirinha;15657.0;2430.0;1.42;356851;275921.0;22791.786421408953;29.33085919520442;246365.0;11323.0;4.6;87796.0;35.64;75995.0;30.85;71252.0;28.92;Industria;288.0;273.0;4369.0;4125.0;94.4151979858091;18.39432841540525;27.90445168295331;82859.0;1649.55;20.087030303030303
2304608;General Sampaio;6734.0;-46.0;-0.06;89926;86963.0;13354.024354024354;3.40719616388579;79990.0;8641.0;10.8;2373.0;2.97;26864.0;33.58;42113.0;52.65;Adm_publica;151.0;150.0;756.0;594.0;78.57142857142857;22.423522423522424;11.226611226611228;17322.0;2053.76;29.161616161616163
2304657;Graça;13801.0;-241.0;-0.14;136808;129711.0;9912.904861966525;5.471394099189737;124796.0;13642.0;10.93;4534.0;3.63;32559.0;26.09;74061.0;59.35;Adm_publica;192.0;186.0;1005.0;837.0;83.28358208955224;13.91203535975654;7.282081008622564;29058.0;2661.39;34.7168458781362
